"STATISTIC","Statistic Label","TLIST(M1)","Month","C01835V02260","Licensing Authority","C01841V02268","Type of Fuel","UNIT","VALUE"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","4","Petrol and electric hybrid","Number","14"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","6","Electric","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","7","Petrol or Diesel plug-in hybrid electric","Number","5"
"TEM27C01","New Private Cars","202101","2021 January","16","Monaghan","9","Diesel and electric hybrid","Number","0"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","-","All fuel types","Number","302"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","1","Petrol","Number","61"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","2","Diesel","Number","148"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","4","Petrol and electric hybrid","Number","67"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","6","Electric","Number","8"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","7","Petrol or Diesel plug-in hybrid electric","Number","9"
"TEM27C01","New Private Cars","202101","2021 January","17","Offaly","9","Diesel and electric hybrid","Number","9"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","-","All fuel types","Number","198"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","1","Petrol","Number","49"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","2","Diesel","Number","101"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","4","Petrol and electric hybrid","Number","40"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","6","Electric","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","7","Petrol or Diesel plug-in hybrid electric","Number","1"
"TEM27C01","New Private Cars","202101","2021 January","18","Roscommon","9","Diesel and electric hybrid","Number","3"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","-","All fuel types","Number","185"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","1","Petrol","Number","52"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","2","Diesel","Number","74"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","4","Petrol and electric hybrid","Number","40"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","6","Electric","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","7","Petrol or Diesel plug-in hybrid electric","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","19","Sligo","9","Diesel and electric hybrid","Number","3"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","-","All fuel types","Number","331"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","1","Petrol","Number","62"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","2","Diesel","Number","141"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","4","Petrol and electric hybrid","Number","68"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","6","Electric","Number","22"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","7","Petrol or Diesel plug-in hybrid electric","Number","26"
"TEM27C01","New Private Cars","202101","2021 January","23","Westmeath","9","Diesel and electric hybrid","Number","12"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","-","All fuel types","Number","561"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","1","Petrol","Number","158"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","2","Diesel","Number","225"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","3","Other fuel types","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","4","Petrol and electric hybrid","Number","106"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","6","Electric","Number","26"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","7","Petrol or Diesel plug-in hybrid electric","Number","27"
"TEM27C01","New Private Cars","202101","2021 January","24","Wexford","9","Diesel and electric hybrid","Number","15"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","-","All fuel types","Number","439"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","1","Petrol","Number","164"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","2","Diesel","Number","112"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","4","Petrol and electric hybrid","Number","98"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","6","Electric","Number","29"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","7","Petrol or Diesel plug-in hybrid electric","Number","23"
"TEM27C01","New Private Cars","202101","2021 January","25","Wicklow","9","Diesel and electric hybrid","Number","13"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","-","All fuel types","Number","779"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","1","Petrol","Number","240"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","2","Diesel","Number","315"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","3","Other fuel types","Number","1"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","4","Petrol and electric hybrid","Number","146"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","6","Electric","Number","23"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","7","Petrol or Diesel plug-in hybrid electric","Number","33"
"TEM27C01","New Private Cars","202101","2021 January","30","Limerick","9","Diesel and electric hybrid","Number","21"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","-","All fuel types","Number","514"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","1","Petrol","Number","205"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","2","Diesel","Number","176"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","4","Petrol and electric hybrid","Number","81"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","6","Electric","Number","19"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","7","Petrol or Diesel plug-in hybrid electric","Number","23"
"TEM27C01","New Private Cars","202101","2021 January","31","Waterford","9","Diesel and electric hybrid","Number","10"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","-","All fuel types","Number","543"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","1","Petrol","Number","147"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","2","Diesel","Number","218"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","4","Petrol and electric hybrid","Number","118"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","6","Electric","Number","21"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","7","Petrol or Diesel plug-in hybrid electric","Number","21"
"TEM27C01","New Private Cars","202101","2021 January","32","Tipperary","9","Diesel and electric hybrid","Number","18"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","-","All fuel types","Number","2362"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","1","Petrol","Number","802"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","2","Diesel","Number","822"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","4","Petrol and electric hybrid","Number","489"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","6","Electric","Number","83"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","7","Petrol or Diesel plug-in hybrid electric","Number","88"
"TEM27C01","New Private Cars","202101","2021 January","33","Cork","9","Diesel and electric hybrid","Number","78"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","-","All fuel types","Number","4856"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","1","Petrol","Number","1852"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","2","Diesel","Number","1105"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","3","Other fuel types","Number","4"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","4","Petrol and electric hybrid","Number","1213"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","6","Electric","Number","275"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","7","Petrol or Diesel plug-in hybrid electric","Number","355"
"TEM27C01","New Private Cars","202101","2021 January","34","Dublin","9","Diesel and electric hybrid","Number","52"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","-","All fuel types","Number","11672"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","1","Petrol","Number","3610"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","2","Diesel","Number","4505"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","4","Petrol and electric hybrid","Number","2030"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","6","Electric","Number","570"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","7","Petrol or Diesel plug-in hybrid electric","Number","715"
"TEM27C01","New Private Cars","202102","2021 February","-","All licensing authorities","9","Diesel and electric hybrid","Number","242"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","-","All fuel types","Number","181"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","1","Petrol","Number","61"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","2","Diesel","Number","65"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","4","Petrol and electric hybrid","Number","29"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","6","Electric","Number","15"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","7","Petrol or Diesel plug-in hybrid electric","Number","8"
"TEM27C01","New Private Cars","202102","2021 February","01","Carlow","9","Diesel and electric hybrid","Number","3"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","-","All fuel types","Number","198"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","1","Petrol","Number","45"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","2","Diesel","Number","104"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","4","Petrol and electric hybrid","Number","38"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","6","Electric","Number","5"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","7","Petrol or Diesel plug-in hybrid electric","Number","5"
"TEM27C01","New Private Cars","202102","2021 February","02","Cavan","9","Diesel and electric hybrid","Number","1"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","-","All fuel types","Number","284"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","1","Petrol","Number","89"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","2","Diesel","Number","116"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","4","Petrol and electric hybrid","Number","43"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","6","Electric","Number","12"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","7","Petrol or Diesel plug-in hybrid electric","Number","10"
"TEM27C01","New Private Cars","202102","2021 February","03","Clare","9","Diesel and electric hybrid","Number","14"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","-","All fuel types","Number","331"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","1","Petrol","Number","102"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","2","Diesel","Number","132"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","4","Petrol and electric hybrid","Number","52"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","6","Electric","Number","12"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","7","Petrol or Diesel plug-in hybrid electric","Number","19"
"TEM27C01","New Private Cars","202102","2021 February","04","Donegal","9","Diesel and electric hybrid","Number","14"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","-","All fuel types","Number","459"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","1","Petrol","Number","116"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","2","Diesel","Number","207"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","4","Petrol and electric hybrid","Number","86"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","6","Electric","Number","25"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","7","Petrol or Diesel plug-in hybrid electric","Number","21"
"TEM27C01","New Private Cars","202102","2021 February","05","Galway","9","Diesel and electric hybrid","Number","4"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","-","All fuel types","Number","337"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","1","Petrol","Number","107"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","2","Diesel","Number","142"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","4","Petrol and electric hybrid","Number","55"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","6","Electric","Number","10"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","7","Petrol or Diesel plug-in hybrid electric","Number","11"
"TEM27C01","New Private Cars","202102","2021 February","06","Kerry","9","Diesel and electric hybrid","Number","12"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","-","All fuel types","Number","584"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","1","Petrol","Number","185"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","2","Diesel","Number","229"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","4","Petrol and electric hybrid","Number","88"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","6","Electric","Number","21"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","7","Petrol or Diesel plug-in hybrid electric","Number","50"
"TEM27C01","New Private Cars","202102","2021 February","07","Kildare","9","Diesel and electric hybrid","Number","11"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","-","All fuel types","Number","261"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","1","Petrol","Number","79"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","2","Diesel","Number","113"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","3","Other fuel types","Number",""
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","4","Petrol and electric hybrid","Number","37"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","6","Electric","Number","9"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","7","Petrol or Diesel plug-in hybrid electric","Number","8"
"TEM27C01","New Private Cars","202102","2021 February","08","Kilkenny","9","Diesel and electric hybrid","Number","15"
"TEM27C01","New Private Cars","202102","2021 February","09","Laois","-","All fuel types","Number","194"
"TEM27C01","New Private Cars","202102","2021 February","09","Laois","1","Petrol","Number","46"
"TEM27C01","New Private Cars","202102","2021 February","09","Laois","2","Diesel","Number","98"
"TEM27C01","New Private Cars","202102","2021 February","09","Laois","3","Other fuel types","Number",""
